step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.08203125,0.08203125,0.16972656454890966,,,,,,,,,,,,,
1,,,,0.046875,0.5,0.778145432472229,1.88292396068573,0.08460915088653564,0.6587301587301587,1.0173592567443848,0.000905888999113813,7.6551783084869385,,-0.07187500596046448,,71.559116916731
2,,,,0.0859375,0.625,,,,,1.111776351928711,0.0015661159413866699,19.85253596305847,,0.3492186665534973,,28.858586985617876
3,,,,0.0,0.0,,,,,1.0219004154205322,0.0021252046863082796,12.60519814491272,,-0.598437488079071,,31.80276218801737
4,,,,0.109375,0.5,,,,,1.0188922882080078,0.0006470860680565238,20.500516057014465,,0.680468738079071,,31.812669090926647
5,,,,0.0078125,0.125,0.8435080051422119,2.0050203800201416,0.06923770904541016,0.5734375,1.0173211097717285,0.00011782970977947116,9.54961371421814,,-0.512499988079071,,70.03971705399454
6,,,,0.0390625,0.25,,,,,1.0327879190444946,0.0008302103378809988,11.482816457748413,,-0.14375002682209015,,32.77777215093374
7,,,,0.0703125,0.375,,,,,1.0523402690887451,0.002184999902965501,11.108124732971191,,0.22343748807907104,,32.105318455025554
8,,,,0.0,0.0,,,,,0.9547627568244934,0.00014055444626137614,13.699564337730408,,-0.5703125,,32.13242041133344
9,,,,0.0234375,0.125,,,,,1.0172008275985718,-7.056392496451735e-05,10.22961938381195,,-0.2953125238418579,,32.74808209948242
10,0.009765625,0.009765625,-0.4269531244644895,0.0078125,0.125,0.39624643325805664,1.9457213878631592,0.0669398307800293,0.3050314465408805,0.9497126340866089,-0.00030811026226729155,9.590317726135254,,-0.4624999761581421,,86.13757789321244
11,,,,0.0,0.0,,,,,0.8657128810882568,0.0008346355753019452,14.675299882888794,,-0.5296874642372131,,31.70875072479248
12,,,,0.0078125,0.125,,,,,0.9153355956077576,2.0021572709083557e-05,6.636845350265503,,-0.4320312440395355,,33.30780926346779
13,,,,0.0,0.0,,,,,0.8525442481040955,5.163275636732578e-05,3.574266791343689,,-0.500781238079071,,32.53987833485007
14,,,,0.0078125,0.125,,,,,0.8599827885627747,0.00027349754236638546,13.816446781158447,,-0.42500001192092896,,31.305936124175787
15,,,,0.0,0.0,,,-0.008858799934387207,0.0515625,0.8344414830207825,0.0003556320443749428,3.1101780831813812,,-0.500781238079071,,33.662443311885
16,,,,0.0078125,0.125,,,,,0.7630090713500977,0.00039901479613035917,6.3063899874687195,,-0.4125000238418579,,31.33655825816095
17,,,,0.0,0.0,,,,,0.8282456994056702,0.0,0.023974289651960135,,-0.5,,33.148167323321104
18,,,,0.0,0.0,,,,,0.9052521586418152,9.810435585677624e-05,2.0579955987632275,,-0.500781238079071,,32.40954780206084
19,,,,0.0,0.0,,,,,0.9015608429908752,7.776508573442698e-05,2.8136301524937153,,-0.500781238079071,,31.98239154368639
20,0.0,0.0,-0.5011718750465661,0.0,0.0,0.10416340827941895,2.177523374557495,0.006679534912109375,0.0359375,0.8225041031837463,0.0,0.02447935938835144,,-0.5,,69.82216127961874
21,,,,0.0,0.0,,,,,0.8959353566169739,0.00039161916356533766,2.4876775071024895,,-0.500781238079071,,31.03369497694075
22,,,,0.0,0.0,,,,,0.9549354910850525,0.0,0.025500944815576077,,-0.5,,31.69126272946596
23,,,,0.0,0.0,,,,,1.0091915130615234,0.0,0.027046925853937864,,-0.5,,31.50261808000505
24,,,,0.0,0.0,,,,,1.0256493091583252,0.0,0.027350435499101877,,-0.5,,32.814991753548384
25,,,,0.0,0.0,,,0.022142648696899414,0.015625,1.044951319694519,0.0010978999780490994,2.770008150488138,,-0.5015624761581421,,32.82458092644811
26,,,,0.0,0.0,,,,,,,,,,1.0,
