step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.08203125,0.08203125,0.16972656454890966,,,,,,,,,,,,,
1,,,,0.046875,0.5,0.778145432472229,1.88292396068573,0.08460915088653564,0.6587301587301587,1.109541893005371,-0.15321342542301863,44.328847885131836,2.4924237513914704,0.46562501788139343,,74.47162171453238
2,,,,0.078125,0.375,,,,,1.4633101224899292,-0.2694144989363849,28.148273468017578,2.439804019406438,2.4625000953674316,,28.577968755736947
3,,,,0.0,0.0,,,,,1.0816373825073242,0.13490786005240807,26.23424792289734,1.14140890724957,-0.63671875,,44.05072478950024
4,,,,0.203125,0.625,,,,,0.9263861179351807,-0.6729022763902321,55.210920333862305,2.520377076463774,3.890625,,32.915941540151834
5,,,,0.0078125,0.125,0.7991032600402832,1.6271710395812988,0.07412087917327881,0.6332288401253918,1.0576242208480835,-0.007895170305952584,44.29066308339437,1.0052123783777158,-0.5135416984558105,,69.2517423722893
6,,,,0.0546875,0.375,,,,,0.8574773669242859,-0.5466472395492019,58.847591400146484,1.3270780434831977,1.5250000953674316,,28.075364470481873
7,,,,0.109375,0.625,,,,,1.0440629720687866,-0.6416963113588281,43.175034523010254,1.5831953794695437,2.2406249046325684,,32.645699724555016
8,,,,0.03125,0.375,,,,,1.0670244693756104,-0.057642744894110365,41.99003887176514,0.6840882583055645,0.05468754470348358,,32.056242329999804
9,,,,0.03125,0.25,,,,,0.7680444121360779,-0.32458232983844937,35.64404296875,0.8805234562605619,0.7781249284744263,,28.393385296687484
10,0.083984375,0.083984375,0.19199218158610165,0.0390625,0.25,1.0328482389450073,1.665291428565979,0.05978214740753174,0.8152866242038217,1.261673092842102,-0.2683220754552167,10.05607795715332,1.1303695815149695,1.1218749284744263,,123.27200880646706
11,,,,0.0390625,0.25,,,,,0.9846168756484985,-0.12065455713309348,11.430560111999512,1.1171958341728896,1.0218747854232788,,21.7532650064677
12,,,,0.171875,0.75,,,,,1.0122078657150269,-0.30304461845662445,28.31456756591797,1.6811401913873851,2.6890625953674316,,29.681110873818398
13,,,,0.046875,0.375,,,,,0.9589424133300781,-0.11291165680449922,27.38570213317871,1.2815838092938066,0.7625000476837158,,28.870834037661552
14,,,,0.1171875,0.375,,,,,0.8284204602241516,-0.5460591167211533,33.751953125,1.740815524943173,4.359375,,26.447625605389476
15,,,,0.0625,0.5,1.0122592449188232,1.832646369934082,0.047620177268981934,0.8117088607594937,0.7817025184631348,0.000803179107606411,10.861990928649902,1.0915866163559258,1.0890625715255737,,91.83238973468542
16,,,,0.15625,0.5,,,,,1.0915498733520508,-0.40408456698060036,25.806958198547363,1.4852867587469518,2.9375,,28.111786644905806
17,,,,0.0234375,0.125,,,,,0.9804964065551758,-0.2035162514075637,20.611671447753906,1.1658649649471045,1.4187500476837158,,28.526825120672584
18,,,,0.1015625,0.25,,,,,0.7832613587379456,-0.5210088659077883,51.514347076416016,1.6225467436015606,3.971874713897705,,28.993673434481025
19,,,,0.109375,0.375,,,,,0.9070971608161926,-0.40892355563119054,27.136812210083008,1.6513140136376023,3.606250286102295,,20.63583903759718
20,0.1171875,0.1171875,0.6437500072643161,0.0546875,0.25,1.0704312324523926,1.9969017505645752,0.05932009220123291,0.9080645161290323,0.9440633654594421,-0.35823883791454136,27.005088806152344,1.063706748187542,1.850000023841858,,129.3595243152231
21,,,,0.0703125,0.375,,,,,0.8406322002410889,-0.19115865044295788,18.616443634033203,1.3715628986246884,2.1468749046325684,,27.556041158735752
22,,,,0.0625,0.5,,,,,0.7825900912284851,-0.11607569798070472,26.221235275268555,0.9262370311189443,0.965624988079071,,25.537961142137647
23,,,,0.09375,0.5,,,,,0.8413420915603638,-0.12053080206169398,17.747140884399414,1.3255197615362704,1.4296875,,33.49268081597984
24,,,,0.0078125,0.125,,,,,0.79273921251297,0.17226076751588457,20.66017500559489,0.5921389909150699,-0.5541666746139526,,39.13702237047255
25,,,,0.0625,0.25,1.3175495862960815,1.857972502708435,0.03544306755065918,0.9537480063795853,0.8515160083770752,-0.23055042163468897,17.06039047241211,1.5225777889136225,2.1781251430511475,,94.42806589789689
26,,,,0.046875,0.375,,,,,0.6274381875991821,-0.05422453844221309,18.316518306732178,0.9461494410643354,0.9624999761581421,,29.10208659991622
27,,,,0.015625,0.125,,,,,0.9121906757354736,-0.01679365367454011,24.951991081237793,0.252321087726159,-0.28437504172325134,,25.85950170829892
28,,,,0.0703125,0.125,,,,,0.8130394220352173,-0.6032041162252426,48.62459182739258,4.0623969286098145,5.825000762939453,,19.74371736496687
29,,,,0.0859375,0.5,,,,,0.767421305179596,-0.3202603457029909,22.225741386413574,1.3645817317374167,1.5218749046325684,,33.543194979429245
30,0.109375,0.109375,0.6212890641763806,0.0625,0.25,1.317856788635254,1.8798696994781494,0.056231021881103516,0.9098228663446055,1.0524256229400635,-0.34306008415296674,21.88656234741211,1.6331975524080917,2.234375,,127.92840364575386
