step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.099609375,0.099609375,0.29902343277353793,,,,,,,,,,,,,
1,,,,0.1640625,0.375,0.6499772071838379,1.5632116794586182,0.21453559398651123,0.9982993197278912,0.9698802828788757,3.166496753692627e-08,9.675466537475586,,6.293749809265137,,108.89162645861506
2,,,,0.2734375,0.75,,,,,0.9129515290260315,0.0006957311804095904,10.80192486445109,,4.0447916984558105,,26.237375918775797
3,,,,0.015625,0.25,,,,,1.0961295366287231,0.0008918872723976771,7.062915086746216,,-0.612500011920929,,39.10799638368189
4,,,,0.3046875,0.625,,,,,0.937422513961792,-0.000525974202901125,9.492436170578003,,4.223437786102295,,24.364704187959433
5,,,,0.0234375,0.25,0.6759153604507446,1.5662835836410522,0.17560970783233643,0.9968503937007874,1.1333662271499634,-9.546056389808655e-09,4.356229305267334,,0.2187500298023224,,115.96604368276894
6,,,,0.1484375,0.625,,,,,1.0249996185302734,0.0005638855509459972,8.625198364257812,,2.25,,27.87840598076582
7,,,,0.296875,0.75,,,,,0.9877671599388123,0.0005370474051839361,5.302553494771321,,2.379166841506958,,26.427425410598516
8,,,,0.0546875,0.5,,,,,1.0538170337677002,0.0005149292992427945,4.936728477478027,,0.7437500357627869,,21.493394527584314
9,,,,0.1484375,0.5,,,,,1.2035374641418457,1.0803341865539551e-07,12.232931137084961,,5.309375286102295,,18.113537169992924
10,0.09375,0.09375,0.24863280134741217,0.046875,0.25,0.6241248846054077,1.9061442613601685,0.20126748085021973,0.9920634920634921,1.1010563373565674,2.8870999813079834e-08,5.014151573181152,,1.2781250476837158,,133.01191118732095
11,,,,0.09375,0.375,,,,,0.9890943765640259,-1.1175870895385742e-08,4.7325005531311035,,3.059375286102295,,18.226223912090063
12,,,,0.2734375,0.625,,,,,1.1197673082351685,-0.0014829924330115318,8.836320638656616,,4.885937690734863,,22.897168235853314
13,,,,0.140625,0.5,,,,,1.0692325830459595,0.0003478098660707474,6.697078227996826,,2.7203121185302734,,23.240769047290087
14,,,,0.1171875,0.375,,,,,1.0425294637680054,-0.00029979879036545753,5.55819845199585,,2.2156248092651367,,20.65029384754598
15,,,,0.0859375,0.5,0.670098066329956,1.6405749320983887,0.20607995986938477,0.9902912621359223,1.153558373451233,-3.91155481338501e-08,7.5852508544921875,,2.4093751907348633,,86.95587169378996
16,,,,0.2265625,0.625,,,,,1.297776222229004,-0.0003588404506444931,6.74338173866272,,2.034374952316284,,23.069537237286568
17,,,,0.046875,0.125,,,,,1.129860758781433,-5.587935447692871e-08,6.712979793548584,,3.3874998092651367,,17.34881897829473
18,,,,0.171875,0.25,,,,,1.2316441535949707,2.9802322387695312e-08,7.578679084777832,,4.150000095367432,,21.882252980023623
19,,,,0.125,0.5,,,,,1.0661604404449463,0.0010226522572338581,7.251521348953247,,2.3828125,,28.923350693657994
20,0.142578125,0.142578125,0.7658203184837475,0.1328125,0.5,0.6432520151138306,1.7800959348678589,0.1956554651260376,0.9901800327332242,1.2263461351394653,1.30385160446167e-08,4.550905227661133,,4.503125190734863,,128.93907122127712
21,,,,0.140625,0.375,,,,,1.137337327003479,-0.0012836223468184471,9.09314250946045,,3.8656249046325684,,19.72251219674945
22,,,,0.125,0.5,,,,,1.1654317378997803,0.0009087906219065189,9.579386234283447,,2.59375,,23.078848699107766
23,,,,0.078125,0.5,,,,,1.3397607803344727,0.00027361931279301643,8.155067682266235,,1.1687500476837158,,20.620293360203505
24,,,,0.0546875,0.375,,,,,1.137115240097046,-9.313225746154785e-09,5.987834930419922,,1.381250023841858,,24.19770323112607
25,,,,0.15625,0.5,0.49552321434020996,1.8719661235809326,0.1443418264389038,0.9983193277310924,1.2178711891174316,0.0004398021847009659,6.703619956970215,,3.4203126430511475,,93.38350560702384
26,,,,0.0703125,0.375,,,,,1.2798292636871338,1.210719347000122e-08,5.930973529815674,,2.0281248092651367,,19.82742853090167
27,,,,0.1171875,0.5,,,,,1.2940579652786255,0.0014681280590593815,7.290922164916992,,3.1578125953674316,,23.05179514735937
28,,,,0.09375,0.25,,,,,1.0801254510879517,1.043081283569336e-07,11.856060981750488,,7.162500381469727,,20.91966911032796
29,,,,0.25,0.75,,,,,1.2291077375411987,0.0005455492064356804,4.334011197090149,,4.5390625,,26.39894912019372
30,0.138671875,0.138671875,0.673828128608875,0.125,0.375,0.49378013610839844,1.813842535018921,0.10070991516113281,0.9967213114754099,1.1809253692626953,0.0013556391932070255,6.065059661865234,,2.5546875,,139.42624193429947
31,,,,0.234375,0.5,,,,,1.1761751174926758,-3.788480535149574e-05,8.062918663024902,,2.559375047683716,,20.839256374165416
32,,,,0.1328125,0.5,,,,,1.1500576734542847,8.913129568099976e-05,5.912550210952759,,2.549999952316284,,22.89876428619027
33,,,,0.1796875,0.75,,,,,1.2131301164627075,0.0006557068166633447,7.114234606424968,,2.5177083015441895,,26.32532573863864
34,,,,0.0625,0.375,,,,,1.3351458311080933,5.122274160385132e-08,6.3378119468688965,,1.6593749523162842,,19.730716817080975
35,,,,0.25,0.625,0.45375609397888184,1.7566633224487305,0.09978151321411133,0.9928571428571429,1.068692684173584,0.001151887234300375,8.492685079574585,,2.7484374046325684,,89.23220595158637
36,,,,0.171875,0.25,,,,,1.037488579750061,5.4016709327697754e-08,6.091543197631836,,7.053125381469727,,22.328454295173287
37,,,,0.15625,0.5,,,,,1.2035268545150757,0.0006996765732765198,4.657426953315735,,2.7328124046325684,,23.658437671139836
38,,,,0.1953125,0.75,,,,,1.1290016174316406,0.0020170720914999643,7.334588368733724,,2.695833444595337,,21.38794284313917
39,,,,0.03125,0.25,,,,,1.1090848445892334,2.421438694000244e-08,5.024030685424805,,0.5531250834465027,,19.746805811300874
40,0.16015625,0.16015625,0.8816406220430508,0.1796875,0.625,0.5480560064315796,1.9905325174331665,0.135459303855896,0.9826689774696707,1.0271871089935303,0.00032403599470853806,9.19606328010559,,3.0640628337860107,,127.59907589107752
41,,,,0.1953125,0.625,,,,,0.9807996153831482,1.1552125215530396e-05,4.882675886154175,,4.435937404632568,,18.666694171726704
42,,,,0.09375,0.375,,,,,0.9842520952224731,0.001986720133572817,8.597885608673096,,1.734375,,19.98689233697951
43,,,,0.21875,0.5,,,,,0.9255343079566956,2.9802322387695312e-08,6.423642158508301,,3.393749952316284,,17.9647177439183
