step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.1015625,0.1015625,0.4660156151512638,,,,,,,,,,,,,
1,,,,0.125,0.625,0.8778672218322754,0.7295315265655518,0.2749732732772827,0.9917355371900827,130.17906188964844,142.11921229865402,19122.279663085938,,0.731249988079071,,159.66732668690383
2,,,,0.2734375,0.875,,,,,119.2596664428711,187.90697924047709,19973.861572265625,,2.4398436546325684,,36.85369195789099
3,,,,0.0078125,0.125,,,,,136.114501953125,2.1057643192094417,2288.798194885254,,-0.6273437738418579,,39.59026991203427
4,,,,0.375,0.625,,,,,101.11470794677734,161.11250615492463,12388.119018554688,,3.5960938930511475,,41.793541960418224
5,,,,0.0546875,0.25,0.9330258965492249,0.6999382376670837,0.33884739875793457,1.0,127.69332122802734,50.467944756150246,5818.5328369140625,,-0.10312500596046448,,153.0085525214672
6,,,,0.15625,0.5,,,,,123.3486328125,159.09163628239185,10189.938354492188,,1.1062500476837158,,38.107232401147485
7,,,,0.2421875,0.375,,,,,107.21879577636719,123.28484823927283,8857.279174804688,,2.0749998092651367,,38.244934195652604
8,,,,0.0390625,0.125,,,,,123.8523941040039,49.47752780560404,2532.1129760742188,,-0.2328125238418579,,38.90959597565234
9,,,,0.140625,0.375,,,,,116.77340698242188,104.41350421868265,11857.869079589844,,0.90234375,,37.50796110369265
10,0.1328125,0.1328125,0.8509765524649993,0.1328125,0.25,0.9036767482757568,0.7538672685623169,0.2557835578918457,0.9663299663299664,107.54694366455078,98.660604018718,6849.758209228516,,0.8421875238418579,,180.92892922833562
11,,,,0.03125,0.125,,,,,111.6836929321289,23.756088665686548,7088.2607421875,,-0.33281248807907104,,36.908818911761045
12,,,,0.3515625,0.625,,,,,84.1152114868164,213.36492950096726,12607.743286132812,,3.3195314407348633,,35.53253089636564
13,,,,0.09375,0.375,,,,,92.74160766601562,58.07648195326328,12829.786254882812,,0.4312499463558197,,36.51736023277044
14,,,,0.15625,0.375,,,,,92.12147521972656,73.29337945394218,6909.458251953125,,1.1375000476837158,,36.0505276247859
15,,,,0.09375,0.625,0.8164433836936951,0.8271135687828064,0.12431484460830688,1.0,94.75428009033203,91.51544911414385,25186.95068359375,,0.41718751192092896,,152.6027371864766
16,,,,0.21875,0.625,,,,,86.6887435913086,115.27254194766283,9960.097534179688,,1.8546874523162842,,35.875718746334314
17,,,,0.015625,0.125,,,,,97.68362426757812,17.431203314103186,4395.1829833984375,,-0.4609375,,37.14351644925773
18,,,,0.171875,0.25,,,,,87.9991226196289,88.83814731612802,5442.300994873047,,1.303125023841858,,36.21160976961255
19,,,,0.1015625,0.375,,,,,87.10772705078125,111.96049995254725,5792.750061035156,,0.5093749761581421,,36.68734905682504
20,0.109375,0.109375,0.6558593737427145,0.15625,0.5,0.8074535131454468,0.7878159284591675,0.11021149158477783,0.983249581239531,86.5870132446289,86.79373547621071,9118.69580078125,,1.12109375,,177.64052439667284
21,,,,0.1171875,0.375,,,,,82.26410675048828,81.63957078568637,17498.977905273438,,0.6945312023162842,,35.40783214755356
22,,,,0.1015625,0.375,,,,,75.47721862792969,96.27058643099762,6228.424133300781,,0.546093761920929,,37.42896470427513
23,,,,0.0859375,0.375,,,,,74.6142578125,44.139550563620695,9159.341796875,,0.36640626192092896,,36.84489092417061
24,,,,0.0,0.0,,,,,73.34586334228516,2.2863279413431883,1020.0242614746094,,-0.6078124642372131,,37.090754898265004
25,,,,0.15625,0.25,0.9189183115959167,0.8506856560707092,0.09559023380279541,0.9831932773109243,64.97312927246094,67.4788771905005,8662.527221679688,,1.16796875,,146.50417295098305
26,,,,0.1015625,0.25,,,,,68.07951354980469,65.70142015442252,5951.106994628906,,0.5828124284744263,,36.3973552621901
27,,,,0.03125,0.25,,,,,72.37611389160156,17.110118373008852,15965.983642578125,,-0.21015626192092896,,36.809903183951974
28,,,,0.0546875,0.125,,,,,70.99109649658203,44.001327438279986,3347.9427642822266,,0.050781235098838806,,36.06132522597909
