step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.318359375,0.318359375,3.0089843473397195,,,,,,,,,,,,,
1,,,,0.46875,1.0,0.8782546520233154,0.3879297971725464,0.6066259443759918,0.48243559718969553,424.23162841796875,983.1722126337381,9179.714111328125,,4.732812404632568,,228.88138325698674
2,,,,0.609375,0.875,,,,,260.0690002441406,449.577771286934,6946.7789306640625,,6.358593463897705,,99.05522971786559
3,,,,0.0859375,0.625,,,,,661.3157958984375,81.56245775148273,7949.558837890625,,0.33437496423721313,,108.34755370393395
4,,,,0.578125,0.875,,,,,345.98638916015625,620.5687460882557,9335.784301757812,,5.998437404632568,,106.24401349015534
5,,,,0.09375,0.875,0.9530948400497437,0.35797131061553955,0.5973033308982849,0.41033925686591277,533.28662109375,-43.76087063550949,9783.957397460938,,0.42031243443489075,,227.79445093497634
6,,,,0.546875,0.875,,,,,279.753662109375,226.72490475464537,4032.602100610733,,5.627344131469727,,108.31800403818488
7,,,,0.453125,0.75,,,,,286.6958923339844,192.95989119375346,13702.740661621094,,4.561718463897705,,96.27645328082144
8,,,,0.1484375,0.625,,,,,481.79107666015625,5.380136363208294,8127.6737060546875,,1.0164061784744263,,111.60951373539865
9,,,,0.390625,0.5,,,,,299.960205078125,15.466734279902084,3570.601619720459,,3.821093797683716,,106.9333242829889
10,0.33984375,0.33984375,3.231640594545752,0.21875,0.625,1.1565429866313934,0.3933943808078766,0.6334652304649353,0.5497287522603979,461.7536926269531,105.08753233405787,9183.0859375,,1.8312501907348633,,323.194669643417
11,,,,0.2578125,0.625,,,,,486.5934753417969,196.03373490528287,10632.027099609375,,2.2476563453674316,,110.51207012496889
12,,,,0.6484375,0.875,,,,,238.7039031982422,-81.10891006415375,5732.014995574951,,6.76171875,,96.41106788441539
13,,,,0.1875,0.75,,,,,513.8442993164062,687.3761040046811,10992.034423828125,,1.4578125476837158,,112.07055636122823
14,,,,0.3671875,0.75,,,,,483.50360107421875,904.5181773253742,18248.31201171875,,3.5101561546325684,,113.16664524003863
15,,,,0.390625,0.75,1.17135289311409,0.4116480052471161,0.4923405945301056,0.7452229299363057,418.37310791015625,535.9208808392286,14415.889404296875,,3.7671873569488525,,223.95707296580076
16,,,,0.609375,0.75,,,,,213.4763946533203,117.63198392417917,8738.2685546875,,6.289844036102295,,89.25476970151067
17,,,,0.1796875,0.5,,,,,492.77490234375,90.54149982970233,7563.25146484375,,1.3078124523162842,,114.36442613974214
18,,,,0.328125,0.625,,,,,472.8314514160156,27.40148243478245,8809.142333984375,,3.0476560592651367,,110.58357837609947
19,,,,0.390625,0.875,,,,,308.5124816894531,349.7854117637966,9200.814514160156,,3.76171875,,95.19046839699149
20,0.451171875,0.451171875,4.424023419269361,0.3828125,0.75,1.332951009273529,0.3727186322212219,0.6428497731685638,0.8822314049586777,367.18084716796875,-380.22910650972784,12482.788452148438,,3.659374952316284,,303.3931554351002
21,,,,0.453125,0.875,,,,,331.99664306640625,69.30060667900091,11189.771484375,,4.477343559265137,,95.86825538985431
22,,,,0.4453125,0.5,,,,,309.7734375,184.4208708723717,6723.386474609375,,4.382031440734863,,106.88633030466735
23,,,,0.59375,1.0,,,,,301.94757080078125,8.265411967430396,7239.671928405762,,6.091406345367432,,105.09024924784899
24,,,,0.296875,0.625,,,,,383.80926513671875,76.99741000593338,14458.910888671875,,2.647656202316284,,109.17533255182207
25,,,,0.328125,0.75,1.7383212745189667,0.41283467411994934,0.6712005436420441,0.8938775510204081,354.89141845703125,217.63572218397974,9773.3046875,,3.039844036102295,,224.49064235202968
26,,,,0.359375,1.0,,,,,284.5863952636719,-592.4810753618663,14690.433227539062,,3.342968702316284,,100.25619064085186
27,,,,0.59375,0.875,,,,,275.86492919921875,-287.6812316258628,11559.249633789062,,6.067968368530273,,98.55470240674913
28,,,,0.375,0.75,,,,,355.3619384765625,-472.04585535705417,18042.271484375,,3.53125,,104.4922176990658
29,,,,0.5625,0.875,,,,,264.14544677734375,-1.8294746913399536,21364.20947265625,,5.754687309265137,,110.57685982249677
30,0.552734375,0.552734375,5.599999967147596,0.3359375,0.75,2.056512236595154,0.42849957942962646,0.6845970749855042,0.8425047438330171,433.71649169921875,174.96542208749145,16576.473266601562,,3.1109375953674316,,328.7534072268754
31,,,,0.6015625,1.0,,,,,333.21697998046875,-114.7913523567151,12955.560913085938,,6.196874618530273,,97.62808258645236
32,,,,0.5546875,0.875,,,,,354.3235168457031,-163.1127012150041,15293.436645507812,,5.62109375,,105.05995250493288
33,,,,0.5703125,0.875,,,,,311.14581298828125,168.06602258066465,13175.46142578125,,5.825781345367432,,104.51297103241086
34,,,,0.375,0.875,,,,,521.9756469726562,-287.47644287347794,21414.995361328125,,3.5640623569488525,,113.37132170796394
35,,,,0.515625,0.75,1.8546764552593231,0.40508726239204407,0.787183403968811,0.8600451467268623,319.5859069824219,-256.9181249518984,15864.759765625,,5.189843654632568,,226.01740892603993
36,,,,0.40625,0.75,,,,,439.7965393066406,-338.5166927718087,14370.348876953125,,3.9617185592651367,,109.44434844516218
37,,,,0.53125,0.875,,,,,315.5824890136719,-161.8886436730739,10786.9306640625,,5.370312690734863,,95.5461414642632
38,,,,0.6796875,0.875,,,,,279.7598571777344,-469.6903375332,16806.64697265625,,7.089843273162842,,84.18828559480608
39,,,,0.359375,0.75,,,,,545.9322509765625,255.6798353716731,70580.14916992188,,3.34765625,,104.58136055618525
40,0.640625,0.640625,6.6035155687714,0.828125,1.0,1.1065156757831573,0.3703937232494354,0.6069941222667694,0.9110320284697508,230.66065979003906,30.998713209236143,16252.848083496094,,8.762499809265137,,292.13129988126457
41,,,,0.671875,1.0,,,,,386.36907958984375,-141.4106508828919,19020.56787109375,,6.996874809265137,,90.06634087860584
42,,,,0.609375,1.0,,,,,428.2488708496094,-246.40545415878296,20488.54296875,,6.147656440734863,,86.2228126078844
43,,,,0.6171875,1.0,,,,,364.2796325683594,-379.7246859049482,17462.945556640625,,6.333593845367432,,109.68527871184051
44,,,,0.84375,1.0,,,,,242.18365478515625,360.44313685312255,28911.796142578125,,8.98046875,,85.8846200145781
