step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.318359375,0.318359375,3.0089843473397195,,,,,,,,,,,,,
1,,,,0.46875,1.0,0.8782546520233154,0.3879297971725464,0.6066259443759918,0.48243559718969553,449.33349609375,1266.3430514931679,13552.505859375,,4.167187690734863,,217.0669492892921
2,,,,0.5859375,0.875,,,,,399.69964599609375,791.1283903121948,16941.37890625,,2.2156248092651367,,84.35167660750449
3,,,,0.0703125,0.75,,,,,740.7993774414062,299.43689664204913,11117.050130208334,,0.528124988079071,,104.06611403077841
4,,,,0.4765625,0.75,,,,,255.70449829101562,79.66398429870605,21950.54296875,,3.6312499046325684,,81.52400908991694
5,,,,0.1015625,0.875,0.8960176408290863,0.4065004885196686,0.5165155529975891,0.4131147540983607,503.8284912109375,188.89629968007407,12291.084635416666,,0.8843749165534973,,224.07795234397054
6,,,,0.5390625,0.75,,,,,213.43405151367188,573.5852835774422,13015.5185546875,,8.1171875,,90.54822830110788
7,,,,0.4140625,0.875,,,,,620.5665893554688,56.908151149749756,8561.221435546875,,0.2499999701976776,,92.36847140453756
8,,,,0.0546875,0.5,,,,,491.9353332519531,-346.6859302520752,11383.53515625,,0.6078124046325684,,94.59349463693798
9,,,,0.3828125,0.75,,,,,335.783203125,-190.5178572734197,5694.888346354167,,4.126041412353516,,98.46352508664131
10,0.2578125,0.2578125,2.338476536795497,0.1796875,0.5,0.9796854257583618,0.41895055770874023,0.7949001491069794,0.45357142857142857,400.6882629394531,296.29584312438965,12440.75048828125,,0.800000011920929,,310.04570155777037
11,,,,0.1875,0.5,,,,,224.4976806640625,-80.56944847106934,14167.45751953125,,3.6234376430511475,,95.21061076968908
12,,,,0.578125,1.0,,,,,438.3204650878906,294.10448455810547,22606.9970703125,,1.8234375715255737,,94.3541599586606
13,,,,0.1015625,0.5,,,,,273.3260498046875,239.1714367866516,19438.51318359375,,2.390625,,92.03201892226934
14,,,,0.3046875,0.75,,,,,406.04302978515625,863.4425263404846,19648.8984375,,3.2624998092651367,,95.67566423304379
15,,,,0.359375,0.75,0.9840334057807922,0.4142647385597229,0.7191571593284607,0.5320910973084886,280.3204040527344,150.19797921180725,17775.6337890625,,4.717187881469727,,195.79190589115024
16,,,,0.5390625,0.75,,,,,322.9158020019531,122.9601936340332,21604.4130859375,,4.493750095367432,,90.41771406680346
17,,,,0.1328125,0.5,,,,,489.455810546875,437.5836876630783,14128.1826171875,,2.375,,95.78136479854584
18,,,,0.2734375,0.375,,,,,527.2525024414062,-151.68372344970703,23696.990234375,,1.462499976158142,,84.22448159568012
19,,,,0.40625,0.875,,,,,193.896728515625,-351.8613657951355,17078.51611328125,,5.575000286102295,,86.07644440419972
20,0.345703125,0.345703125,3.30976559931878,0.2734375,0.5,1.4646059274673462,0.35595905780792236,0.8330895602703094,0.6358267716535433,233.41297912597656,84.96402585506439,10246.90380859375,,3.6374995708465576,,308.35802467912436
21,,,,0.3671875,0.75,,,,,389.0300598144531,708.7338695526123,23009.5205078125,,2.878124713897705,,78.45935894921422
22,,,,0.4296875,0.625,,,,,118.8579330444336,579.2606576681137,33392.5986328125,,8.092187881469727,,86.54286589473486
23,,,,0.515625,0.75,,,,,298.967041015625,-204.4453762769699,11873.62353515625,,5.396874904632568,,77.5653465129435
24,,,,0.28125,0.5,,,,,336.20404052734375,-502.58287620544434,57067.99609375,,3.9406251907348633,,77.02628470212221
25,,,,0.28125,0.625,2.0279497504234314,0.36983877420425415,0.8590020537376404,0.7897838899803536,329.1421203613281,-354.61774867773056,18283.6484375,,2.9046874046325684,,206.1772631853819
26,,,,0.2890625,0.75,,,,,209.37440490722656,-218.5584659576416,25257.6884765625,,2.8874998092651367,,91.50201836414635
27,,,,0.4921875,0.75,,,,,263.4058532714844,573.2604457139969,17480.5283203125,,6.129687309265137,,77.45042504929006
28,,,,0.2109375,0.5,,,,,369.3531494140625,243.5229082107544,28507.240234375,,2.8656249046325684,,66.41954824514687
29,,,,0.4765625,0.75,,,,,213.03477478027344,112.10894775390625,24829.115234375,,2.581249713897705,,76.17962698638439
30,0.37890625,0.37890625,3.6878906053025275,0.15625,0.375,2.1092537939548492,0.48371371626853943,0.9096865057945251,0.8812056737588653,160.99440002441406,109.53672409057617,31606.1953125,,0.7874999046325684,,265.80538611114025
31,,,,0.4453125,0.5,,,,,215.00743103027344,1850.3468933105469,68598.296875,,5.818749904632568,,63.095861572772264
32,,,,0.3671875,0.75,,,,,210.34280395507812,10.017501592636108,18990.50927734375,,4.698437690734863,,60.85175312310457
33,,,,0.40625,0.75,,,,,122.12891387939453,-469.10907596349716,14849.35009765625,,2.9124999046325684,,65.541843354702
34,,,,0.203125,0.625,,,,,167.11746215820312,-380.38429260253906,26173.0771484375,,5.234375,,79.10082449764013
35,,,,0.3046875,0.625,2.121058315038681,0.3249799311161041,0.9843806326389313,0.8924949290060852,119.26800537109375,-489.2240529060364,33783.30859375,,1.4499999284744263,,177.22340188361704
36,,,,0.265625,0.375,,,,,273.03985595703125,-72.87830191850662,9917.02392578125,,-0.08750002086162567,,59.13063957542181
37,,,,0.4609375,0.5,,,,,100.81721496582031,364.2099757194519,36469.1875,,9.021875381469727,,57.736671421676874
38,,,,0.4921875,0.625,,,,,136.7076416015625,569.6972336769104,24604.859375,,6.478125095367432,,50.488047344610095
39,,,,0.125,0.25,,,,,198.75723266601562,164.51755833625793,30296.11328125,,5.074999809265137,,60.15646905079484
40,0.390625,0.390625,3.8244140377501026,0.515625,1.0,1.8796424567699432,0.4826662838459015,1.1583393514156342,0.9242053789731052,142.25729370117188,-662.5548470020294,30640.0888671875,,4.890625,,221.872168591246
41,,,,0.3671875,0.75,,,,,233.24557495117188,-17.798487782478333,33320.9892578125,,4.739062309265137,,67.93490441888571
42,,,,0.1953125,0.75,,,,,294.936767578125,-135.35505867004395,36621.9482421875,,4.315624713897705,,56.347178779542446
43,,,,0.3046875,0.375,,,,,304.67352294921875,-1316.5847854614258,78838.046875,,5.043749809265137,,39.146016009151936
44,,,,0.7265625,1.0,,,,,187.8617401123047,-67.9710955619812,25184.7080078125,,7.375,,47.91141924075782
45,,,,0.453125,0.625,1.8465420305728912,0.39250287413597107,1.1107562184333801,0.9207459207459208,146.01223754882812,-511.4821609258652,36222.76171875,,8.299999237060547,,158.40055681951344
46,,,,0.421875,0.75,,,,,114.8968505859375,-60.9373722076416,46004.53125,,6.068750381469727,,42.432635551318526
47,,,,0.3203125,0.75,,,,,150.91746520996094,-418.5903968016307,26877.55078125,,4.805208206176758,,58.8559263125062
48,,,,0.484375,0.75,,,,,132.09356689453125,217.57263374328613,25688.673828125,,3.9562501907348633,,66.64647001214325
49,,,,0.2578125,0.5,,,,,234.88250732421875,601.4009757041931,21950.1953125,,3.0890626907348633,,59.70817399956286
50,0.392578125,0.392578125,3.8150390301598236,0.3828125,0.5,1.872190237045288,1.2397723197937012,0.9286327660083771,0.9350104821802935,278.72930908203125,-39.376708030700684,59999.07421875,,6.03125,,229.11042355932295
51,,,,0.6171875,0.875,,,,,163.88099670410156,-303.76320457458496,50764.0546875,,4.353124618530273,,45.89297186769545
52,,,,0.375,0.875,,,,,208.9654083251953,-873.0629601478577,43123.3828125,,2.8531248569488525,,45.17807105369866
53,,,,0.140625,0.375,,,,,246.66400146484375,-1250.973558664322,50606.3671875,,3.3999996185302734,,57.043265376240015
54,,,,0.453125,0.5,,,,,54.289859771728516,-450.85545349121094,85408.859375,,6.487500190734863,,31.00635077059269
55,,,,0.21875,0.75,1.7750616073608398,3.0146985054016113,1.1215040683746338,0.8188539741219963,59.602542877197266,131.51622200012207,28401.708984375,,2.1062498092651367,,156.9436028394848
56,,,,0.4453125,0.75,,,,,168.53077697753906,-55.96691119670868,23308.279052734375,,7.287499904632568,,64.70816439576447
57,,,,0.2890625,0.375,,,,,140.42054748535156,-1187.6587677001953,86657.9453125,,3.5874998569488525,,36.81233777664602
58,,,,0.40625,0.625,,,,,201.0702362060547,-1027.0441255569458,48261.96875,,0.71875,,42.74987377785146
59,,,,0.3046875,0.5,,,,,143.8769073486328,-379.4226417541504,70501.671875,,1.8499996662139893,,45.023791851475835
60,0.345703125,0.345703125,3.2621093549532816,0.2734375,0.375,1.4749977588653564,1.8436572551727295,1.0864081978797913,0.5773809523809523,88.294921875,-1157.8250846862793,51475.01953125,,1.4374998807907104,,206.9490584358573
61,,,,0.234375,0.625,,,,,218.42604064941406,-779.231100320816,26075.5478515625,,2.5374996662139893,,65.20788300409913
62,,,,0.125,0.25,,,,,208.39329528808594,-52.03444821635882,8363.275065104166,,1.4854165315628052,,64.91104534827173
63,,,,0.40625,0.75,,,,,195.98065185546875,-368.32525539398193,50691.931640625,,5.393750190734863,,70.93529850244522
64,,,,0.40625,0.5,,,,,198.5872802734375,-105.6839599609375,64179.08984375,,6.462499618530273,,66.63230440765619
65,,,,0.5625,0.75,0.9798337817192078,0.6500131487846375,0.804385632276535,0.35218508997429304,289.7916259765625,-1490.6483850479126,43043.1865234375,,5.5078125,,175.30791133083403
66,,,,0.5234375,0.625,,,,,148.99343872070312,-200.80223655700684,72443.2421875,,6.846874713897705,,76.58176817931235
67,,,,0.375,0.625,,,,,167.98280334472656,-933.332037448883,38164.9208984375,,7.179687023162842,,64.81630831584334
68,,,,0.3046875,0.75,,,,,236.86053466796875,-1435.2789187431335,70540.962890625,,3.0343751907348633,,78.7001339290291
69,,,,0.4765625,1.0,,,,,135.68759155273438,-365.3647567431132,27336.138834635418,,4.731250286102295,,66.93715072236955
70,0.34765625,0.34765625,3.3167968436609954,0.578125,0.625,1.0355900824069977,0.37905988097190857,0.8902014493942261,0.3248587570621469,227.73626708984375,-33.711679458618164,59892.06640625,,8.634374618530273,,247.16957075335085
71,,,,0.4609375,0.75,,,,,238.69154357910156,-973.2134655316671,33510.677083333336,,5.5124993324279785,,70.87690426036716
72,,,,0.1328125,0.25,,,,,336.891845703125,-621.4683638513088,21416.1123046875,,3.101562261581421,,88.26503239385784
73,,,,0.3984375,0.625,,,,,161.16018676757812,-555.4978429675102,26760.26904296875,,7.204687595367432,,90.29360789805651
74,,,,0.3125,0.5,,,,,214.1851806640625,-1473.7021527290344,56991.3544921875,,4.670312881469727,,88.91019310429692
75,,,,0.34375,0.5,1.231312096118927,0.3247007727622986,0.6907553672790527,0.242,212.894775390625,-1518.1659231185913,41742.4169921875,,5.90625,,182.28047167509794
76,,,,0.1484375,0.375,,,,,143.650634765625,-1366.27760887146,75812.2578125,,5.699999809265137,,81.21886071935296
