step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.318359375,0.318359375,3.0089843473397195,,,,,,,,,,,,,
1,,,,0.46875,1.0,0.8782546520233154,0.3879297971725464,0.6066259443759918,0.48243559718969553,0.3496505618095398,0.060443359543569386,3.6720156967639923,,4.732812404632568,,228.36331575736403
2,,,,0.640625,0.875,,,,,0.3346807360649109,0.18005997128784657,6.786827266216278,,6.705469131469727,,101.5017712265253
3,,,,0.078125,0.5,,,,,0.3758099377155304,0.0006298888474702835,3.4721652567386627,,0.23749995231628418,,113.56603386998177
4,,,,0.5234375,0.75,,,,,0.3269766867160797,0.1208553932083305,8.056423127651215,,5.374218463897705,,108.63882833532989
5,,,,0.1640625,0.75,0.9393964111804962,0.3812203109264374,0.6104650795459747,0.40924092409240925,0.3573235273361206,0.0002889398019760847,2.7398471236228943,,1.2023437023162842,,224.12935677357018
6,,,,0.5390625,0.75,,,,,0.3204077184200287,0.06166731414850801,5.8904125690460205,,5.537499904632568,,108.67090261913836
7,,,,0.4609375,0.75,,,,,0.32149001955986023,0.17935124825453386,8.6285600066185,,4.66249942779541,,98.88941089808941
8,,,,0.1171875,0.5,,,,,0.3347594141960144,0.00022659183014184237,3.5529788434505463,,0.6867187023162842,,114.95225345157087
9,,,,0.3984375,0.75,,,,,0.29552051424980164,0.12084125017281622,6.898234874010086,,3.9156250953674316,,105.99573774263263
10,0.353515625,0.353515625,3.3919921637279913,0.2265625,0.75,0.943099856376648,0.37260496616363525,0.6598982214927673,0.5136612021857924,0.3248748183250427,0.000558271654881537,5.488727152347565,,1.9187500476837158,,328.78915737196803
11,,,,0.2265625,0.625,,,,,0.3043854534626007,0.0011886022984981537,10.152854442596436,,1.927343726158142,,110.00710635259748
12,,,,0.65625,1.0,,,,,0.2689111828804016,0.23951657791621983,9.321610450744629,,6.859375476837158,,96.9997947756201
13,,,,0.2578125,0.75,,,,,0.3209642767906189,0.0002466436708346009,4.070966184139252,,2.278125047683716,,113.36532786488533
14,,,,0.4140625,0.75,,,,,0.28506579995155334,0.060233731812331825,6.009404510259628,,4.04296875,,111.51093195192516
15,,,,0.4765625,1.0,1.0771121978759766,0.4225459098815918,0.6115376949310303,0.6637744034707158,0.3162577152252197,0.06052569625899196,8.249664306640625,,4.759374618530273,,230.5183707922697
16,,,,0.625,0.75,,,,,0.2591303288936615,0.11964155780151486,9.558925688266754,,6.478125095367432,,105.75098169595003
17,,,,0.2109375,0.75,,,,,0.29958248138427734,0.0005638654110953212,3.4375899732112885,,1.70703125,,116.71065158769488
18,,,,0.3203125,0.625,,,,,0.2736799418926239,0.061054585882232004,5.009887874126434,,3.007031202316284,,114.07070801593363
19,,,,0.4765625,1.0,,,,,0.26356053352355957,-0.000313393073156476,7.343383967876434,,4.749218940734863,,100.16405097953975
20,0.443359375,0.443359375,4.366015590261668,0.3671875,0.75,1.4508202373981476,0.343370646238327,0.7046098113059998,0.7626774847870182,0.25888592004776,0.06102870323229581,5.96368545293808,,3.520312547683716,,321.38885420933366
21,,,,0.28125,0.875,,,,,0.2819611132144928,0.062141033820807934,5.972324430942535,,2.5601558685302734,,108.20435930229723
22,,,,0.421875,0.75,,,,,0.2644509971141815,0.0014883831609040499,6.348886668682098,,4.134375095367432,,112.04004306718707
23,,,,0.46875,0.75,,,,,0.2303483486175537,0.12055777991190553,8.06701374053955,,4.690624713897705,,108.3007439672947
24,,,,0.359375,0.625,,,,,0.28372618556022644,0.001631964464679836,9.755760610103607,,3.3882811069488525,,111.4251271225512
25,,,,0.375,0.75,1.757651686668396,0.476983904838562,0.9237900376319885,0.8293172690763052,0.2579762935638428,0.06117339513730258,8.725228905677795,,3.6101560592651367,,226.6121040508151
26,,,,0.375,1.0,,,,,0.25250956416130066,-0.0006427764892578125,8.481959164142609,,3.51171875,,109.84481917694211
27,,,,0.484375,0.875,,,,,0.26104819774627686,0.001507872249931097,9.256698608398438,,4.815624713897705,,101.7820298243314
28,,,,0.3125,0.625,,,,,0.28723374009132385,0.06057041883468628,6.699723124504089,,2.875,,112.66569489985704
29,,,,0.390625,0.625,,,,,0.20602279901504517,0.06450979840461657,10.913876295089722,,3.831249952316284,,108.74391022138298
30,0.455078125,0.455078125,4.510742140701041,0.25,0.625,1.7770783603191376,0.36223676800727844,0.8520281612873077,0.8260869565217391,0.28465306758880615,0.060250564126764106,9.271767437458038,,2.168750047683716,,336.50122605264187
31,,,,0.5546875,0.75,,,,,0.2400752156972885,0.12132247583940625,8.618618696928024,,5.6875,,112.44666256010532
32,,,,0.390625,0.875,,,,,0.26497453451156616,0.06110217224340886,10.00977873802185,,3.750781297683716,,111.15774112381041
33,,,,0.453125,0.75,,,,,0.25237736105918884,0.06225173722486943,8.789510250091553,,4.510937690734863,,111.38037459179759
34,,,,0.34375,0.75,,,,,0.3194846510887146,-0.0009920846205204725,7.4261584877967834,,3.184375047683716,,116.308778276667
35,,,,0.4140625,0.75,1.9919814765453339,0.41971495747566223,1.1079155206680298,0.8354166666666667,0.2439197152853012,0.11975834632175975,11.410437226295471,,4.060156345367432,,230.4468581788242
36,,,,0.3359375,0.625,,,,,0.26744943857192993,0.11930961941834539,9.057108938694,,3.203125,,116.2692949436605
37,,,,0.515625,0.75,,,,,0.24680989980697632,0.06500425969716161,12.306708693504333,,5.2421875,,112.17498639039695
38,,,,0.6953125,0.875,,,,,0.22641384601593018,0.12074078246951103,16.14483869075775,,7.265624523162842,,106.80156388506293
39,,,,0.3828125,0.875,,,,,0.3166128396987915,0.0018723265966400504,5.946339786052704,,3.5859375,,113.92830049619079
40,0.560546875,0.560546875,5.708984347293153,0.6796875,0.875,2.01630437374115,0.3933299779891968,1.092289686203003,0.8696808510638298,0.21590262651443481,0.18004141096025705,17.73789530992508,,7.087499618530273,,312.9137807562947
41,,,,0.6328125,1.0,,,,,0.2569260597229004,0.11914880812400952,9.209431946277618,,6.537500381469727,,105.54596439376473
42,,,,0.5234375,1.0,,,,,0.30852505564689636,0.0014054011553525925,9.913174033164978,,5.177343845367432,,98.58878327161074
43,,,,0.53125,1.0,,,,,0.2879401743412018,0.12107964837923646,7.329604864120483,,5.368749618530273,,110.27182023972273
44,,,,0.8515625,1.0,,,,,0.24379263818264008,0.18050744861830026,8.862065255641937,,9.065624237060547,,84.94702163897455
