step,val_success,val_pass@1,val_reward_mean,train_success,train_pass@16,MI_traj,Hcond_traj,MI_firstturn,valid_think_rate,actor_entropy,pg_loss,actor_grad_norm,critic_vf_loss,reward_mean,early_stop_collapse,step_time_s
0,0.318359375,0.318359375,3.0089843473397195,,,,,,,,,,,,,
1,,,,0.46875,1.0,0.8782546520233154,0.3879297971725464,0.6066259443759918,0.48243559718969553,0.37423601746559143,-0.7402721833786927,27.687239974737167,3.7152370885014534,4.732812404632568,,256.4159718975425
2,,,,0.6171875,0.875,,,,,0.3713052570819855,-0.6560714499792084,21.222151219844818,2.0197460416238755,6.44765567779541,,126.48237366043031
3,,,,0.125,0.875,,,,,0.3783701956272125,-0.0742729876365047,4.261631280183792,1.2151679077651352,0.7851561903953552,,144.58593860454857
4,,,,0.4453125,0.75,,,,,0.3623407781124115,-1.1384184741182253,83.97015824913979,2.0172370416112244,4.50390625,,133.1716406084597
5,,,,0.140625,0.75,0.8375266492366791,0.4307389557361603,0.46663400530815125,0.37748344370860926,0.36166179180145264,-0.15194448153488338,3.4497526586055756,0.9850385814788751,0.9531249403953552,,261.14126207493246
6,,,,0.53125,0.75,,,,,0.3689782917499542,-0.8778059761971235,29.676144003868103,1.753518340177834,5.459375381469727,,134.06048082746565
7,,,,0.40625,0.75,,,,,0.3741779625415802,-0.4151246332330629,16.78171119093895,1.2113578510470688,4.02187442779541,,132.31482746452093
8,,,,0.09375,0.75,,,,,0.3653746545314789,-0.07279756690695649,2.9957195669412613,0.7345676467084559,0.4195311963558197,,144.76431420259178
9,,,,0.3671875,0.5,,,,,0.3474091589450836,-0.5644782573217526,8.90358117222786,0.8322201541159302,3.5640623569488525,,137.89261610247195
10,0.2734375,0.2734375,2.49531248700805,0.2265625,0.625,0.8224744200706482,0.3913537859916687,0.564597487449646,0.41025641025641024,0.3595583140850067,-0.3740683288110631,5.092181026935577,0.8540379063197179,1.9421874284744263,,392.3011809773743
11,,,,0.3203125,0.625,,,,,0.36429232358932495,-0.3204230582341552,6.576943814754486,1.3795476508967113,2.98046875,,143.2032454330474
12,,,,0.59375,0.75,,,,,0.3850387632846832,-0.04936485715734307,5.3886944353580475,1.145489113390795,6.162499904632568,,138.09286792762578
13,,,,0.1484375,0.75,,,,,0.3539651036262512,-0.2882792353630066,3.7813910096883774,1.0693263267166913,1.0335936546325684,,146.5488274525851
14,,,,0.3828125,0.75,,,,,0.3821776807308197,-0.4546876783424523,7.8427625596523285,1.2469804690917954,3.7023439407348633,,141.59867139346898
15,,,,0.359375,0.75,0.928026020526886,0.4630224108695984,0.47963768243789673,0.4822834645669291,0.37433719635009766,-0.27175795240327716,4.150626063346863,1.2911080268968362,3.4320311546325684,,255.65028453618288
16,,,,0.5078125,0.75,,,,,0.37115001678466797,-0.33597683103289455,6.055602073669434,0.9753073645115364,5.157812118530273,,141.72801144234836
17,,,,0.15625,0.75,,,,,0.3555517792701721,-0.21292428147444298,3.4399203807115555,0.540689678513445,1.1085937023162842,,159.74824993871152
18,,,,0.28125,0.5,,,,,0.40138235688209534,-0.1285003690281883,5.304492570459843,0.4065104291366879,2.571093797683716,,145.54016344808042
19,,,,0.3828125,0.75,,,,,0.35145965218544006,-0.46536257141269743,6.496578469872475,1.2778472888749093,3.6953125,,141.5050294045359
20,0.439453125,0.439453125,4.3273437194293365,0.4296875,0.875,0.9160906970500946,0.450951486825943,0.44621944427490234,0.5471311475409836,0.38315826654434204,-0.35249674564693123,5.467876821756363,1.1747586663113907,4.198437213897705,,406.50254878401756
21,,,,0.359375,0.875,,,,,0.37361881136894226,-0.4100112220621668,7.361014038324356,1.4533975944505073,3.397655963897705,,144.93356743454933
22,,,,0.34375,0.5,,,,,0.33058518171310425,-0.9526585376006551,13.933962680399418,1.2105724377906881,3.2562501430511475,,146.43003293685615
23,,,,0.4453125,0.75,,,,,0.32893145084381104,-0.6880868762127648,7.256141722202301,0.9343131229106802,4.426562309265137,,145.67108086682856
24,,,,0.2890625,0.875,,,,,0.38656556606292725,-0.08295780162734445,3.0419108271598816,1.1409461910661776,2.573437452316284,,145.16880692914128
25,,,,0.296875,0.625,1.0014472007751465,0.44232749938964844,0.4772668480873108,0.5433526011560693,0.38523125648498535,-0.16475296088901814,3.4367015063762665,0.6618374683748698,2.6953125,,246.28734903782606
26,,,,0.3828125,1.0,,,,,0.4171610176563263,-0.36677909502759576,4.044970080256462,1.3378679564921185,3.625,,146.48748769052327
27,,,,0.4375,0.75,,,,,0.3859291076660156,-0.37354455204331316,5.379316836595535,0.9871769028977724,4.295312404632568,,142.2307090088725
28,,,,0.328125,0.75,,,,,0.4074627757072449,-0.20203288627089933,3.603734642267227,1.0293295664596371,2.9828124046325684,,145.75258968397975
29,,,,0.453125,0.875,,,,,0.3306885063648224,-0.4967545919607801,10.625707268714905,0.6764986411726568,4.490624904632568,,142.89851301535964
30,0.412109375,0.412109375,4.036328094894998,0.2578125,0.625,0.9041780233383179,0.3992736339569092,0.42476385831832886,0.5339449541284403,0.3698059022426605,-0.18984971538884565,3.6889744848012924,0.47984396638639737,2.2359375953674316,,403.5916871242225
31,,,,0.453125,0.75,,,,,0.36093026399612427,-0.07720553003082387,3.9179757982492447,0.5118527079721389,4.49609375,,143.0998723078519
32,,,,0.4921875,0.875,,,,,0.3707878291606903,-0.16976534954301314,2.8470959067344666,0.809985984407831,4.903905868530273,,141.4021542854607
33,,,,0.5625,0.875,,,,,0.34835463762283325,-0.10501703508271021,3.5779979526996613,0.9045822146581486,5.730468273162842,,143.52408199198544
34,,,,0.296875,0.75,,,,,0.35600200295448303,-0.26223356049740687,4.384597152471542,1.101867665303871,2.639843702316284,,147.54211767204106
35,,,,0.484375,0.75,1.1366329789161682,0.3515365719795227,0.5083039999008179,0.5248868778280543,0.3532268702983856,-0.6727957912371494,25.873210787773132,0.8483508595527383,4.84765625,,262.85563574917614
36,,,,0.375,0.625,,,,,0.35431382060050964,-0.3901601763354847,9.234190121293068,0.7727116455571377,3.613280773162842,,145.9777094759047
37,,,,0.546875,0.875,,,,,0.3444852828979492,-0.23781484922074014,4.358775079250336,0.6780756478765397,5.567968845367432,,141.37872791849077
38,,,,0.65625,0.875,,,,,0.36098042130470276,-0.15439993341897207,3.2771570086479187,0.5002273788995808,6.803125381469727,,140.05107785202563
39,,,,0.359375,0.875,,,,,0.34994763135910034,-0.19813555786095094,1.923842653632164,1.338995359648834,3.315624952316284,,147.97477403469384
40,0.490234375,0.490234375,4.914648418664001,0.6796875,1.0,1.027777075767517,0.3986870050430298,0.5657821297645569,0.6272189349112426,0.34906885027885437,-0.3733886475674808,7.107624292373657,1.0370428459718823,7.072656154632568,,387.866444317624
41,,,,0.578125,1.0,,,,,0.3300848603248596,-0.33863220224156976,4.1605536341667175,0.9239094618824311,5.878125190734863,,141.49002275429666
42,,,,0.484375,1.0,,,,,0.4011112153530121,-0.21416293364018202,3.2337964177131653,1.2972129304544069,4.724218845367432,,145.44523676671088
43,,,,0.5390625,1.0,,,,,0.32885316014289856,-0.2384862209437415,2.6925007104873657,0.6876688490228844,5.4453125,,147.48201606050134
44,,,,0.828125,1.0,,,,,0.39616262912750244,-0.1527017300213629,2.070074051618576,0.5765023181738798,8.77734375,,139.2185086812824
45,,,,0.609375,0.75,0.9823878407478333,0.3279716372489929,0.5783169567584991,0.582010582010582,0.36200398206710815,-0.03671948051851359,2.6048356890678406,0.5064959590381477,6.28515625,,262.21400369144976
46,,,,0.640625,1.0,,,,,0.37273919582366943,-0.2165100963320583,1.9053504168987274,0.9286463631433435,6.572656154632568,,146.94031127542257
47,,,,0.65625,1.0,,,,,0.3752526044845581,-0.26520155370235443,2.6905211806297302,0.8617377919290448,6.756250381469727,,144.95622549951077
48,,,,0.515625,0.625,,,,,0.3759075999259949,-0.31378530209167366,7.121797680854797,0.2439720472029876,5.222655773162842,,144.6595358736813
49,,,,0.484375,0.75,,,,,0.37875840067863464,-0.36229125468526036,3.3643798232078552,0.923122390624485,4.807812690734863,,145.43153550475836
50,0.466796875,0.466796875,4.671093741664663,0.6484375,1.0,0.7600409090518951,0.378400057554245,0.3699333667755127,0.5576923076923077,0.40522316098213196,-0.2646289997501299,1.674389898777008,1.0193167176912539,6.653905868530273,,400.9947808329016
51,,,,0.7578125,1.0,,,,,0.43964454531669617,-0.4443531963042915,5.591853320598602,0.5434830719823367,7.946094512939453,,137.65278108417988
52,,,,0.7109375,1.0,,,,,0.4025174379348755,-0.15306673484155908,2.6311681866645813,1.0001337434769084,7.365624904632568,,140.87248612754047
53,,,,0.3828125,1.0,,,,,0.467316210269928,-0.22644434427184024,2.6068036556243896,1.3791301334422315,3.5804688930511475,,155.26894696243107
54,,,,0.5859375,1.0,,,,,0.6313170194625854,-0.31769691787849297,9.652772724628448,0.5767011076241033,6.005468845367432,,144.73017462715507
55,,,,0.59375,1.0,0.9162338078022003,0.48450443148612976,0.49253129959106445,0.5180412371134021,0.4706641435623169,-0.25420764353475533,5.975874274969101,0.533280862873653,6.12109375,,263.2782392092049
56,,,,0.484375,0.875,,,,,0.41036224365234375,-0.4997786244282736,8.2531908005476,0.5419102426094469,4.864062309265137,,144.37838118895888
57,,,,0.3671875,0.75,,,,,0.42846593260765076,-0.3035686883740709,6.40809528529644,0.5351800169846683,3.5062501430511475,,147.0883624907583
